Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.1,Unnamed: 0,source_article,logical_fallacies,masked_articles,Unnamed: 0.2,is_fallacy 
0,0,0,0,0,"Rep. Bill Posey ( R-FL ) said scientists said in the 1970s that the Earth was cooling , a popular talking point of climate skeptics and the subject of a fake",['intentional'],"Rep. Bill Posey ( R - FL ) said scientists said in the 1970s that the Earth was cooling , a popular talking point of climate skeptics and the subject of a fake ",,1
1,1,1,1,1,"`` Look , if you want to characterize a temperature above today 's temperature as normal , you 're free to do that , but that does n't mean that 's a planet we want to live on , '' Duffy said .",['intentional'],"MSK<3> Look , if MSK<0> MSK<1> to characterize MSK<2> as normal , MSK<0> 're free to do MSK<2> , but that doesn't mean MSK<2> 's a planet we MSK<1> to live on , MSK<3> Duffy said . ",,1
2,2,2,2,2,"At one point , Smith showed a slide of two charts that he said demonstrated how the rate of sea-level rise does not equal the sharp spike in the consumption of fossil fuels .",['intentional'],"At one point , MSK<0> showed a slide of two charts that MSK<0> said demonstrated how the rate of sea - level rise does not equal the sharp spike in the consumption of fossil fuels . ",,1
3,3,3,3,3,"Brooks then said that erosion plays a significant role in sea-level rise , which is not an idea embraced by mainstream climate researchers .",['faulty generalization'],"Brooks then said that erosion plays a significant role in sea - level rise , which is not an idea embraced by mainstream climate researchers . ",,1
4,4,4,4,4,Brooks added that Antarctic ice is growing .,['intentional'],Brooks added that Antarctic ice is growing . ,,1
5,5,5,5,5,"Now , you could make a different argument if you want to talk about Greenland or the Arctic . ''","['intentional', 'intentional']","Now , MSK<0> could make a different argument if MSK<0> want to talk about Greenland or the Arctic . '' ",,1
6,6,6,6,6,The Earth is not warming .,['intentional'],The Earth is not warming . ,,1
7,7,7,7,7,The White Cliffs of Dover are tumbling into the sea and causing sea levels to rise .,['intentional'],The White Cliffs of Dover are tumbling into the MSK<0> and causing MSK<0> levels to rise . ,,1
8,8,8,8,8,Global warming is helping grow the Antarctic ice sheet .,['intentional'],Global warming is helping grow the Antarctic ice sheet . ,,1
9,9,9,9,9,"Rep. Bill Posey ( R-FL ) said scientists said in the 1970s that the Earth was cooling , a popular talking point of climate skeptics and the subject of a fake Time magazine cover that has become a meme .","['ad hominem', 'fallacy of relevance']","Rep. Bill Posey ( R - FL ) said scientists said in the 1970s that the Earth was cooling , a popular talking point of climate skeptics and the subject of a fake Time magazine cover that has become a meme . ",,1
10,10,10,10,10,,[],,,1
