,argument,sa_argument,hypothesis,is_fallacy 
0,"Rep. Bill Posey ( R-FL ) said scientists said in the 1970s that the Earth was cooling , a popular talking point of climate skeptics and the subject of a fake","Rep. Bill Posey ( R - FL ) said scientists said in the 1970s that the Earth was cooling , a popular talking point of climate skeptics and the subject of a fake ",This argument is fallacious.,1
1,"`` Look , if you want to characterize a temperature above today 's temperature as normal , you 're free to do that , but that does n't mean that 's a planet we want to live on , '' Duffy said .","MSK<3> Look , if MSK<0> MSK<1> to characterize MSK<2> as normal , MSK<0> 're free to do MSK<2> , but that doesn't mean MSK<2> 's a planet we MSK<1> to live on , MSK<3> Duffy said . ",This argument is fallacious.,1
2,"At one point , Smith showed a slide of two charts that he said demonstrated how the rate of sea-level rise does not equal the sharp spike in the consumption of fossil fuels .","At one point , MSK<0> showed a slide of two charts that MSK<0> said demonstrated how the rate of sea - level rise does not equal the sharp spike in the consumption of fossil fuels . ",This argument is fallacious.,1
3,"Brooks then said that erosion plays a significant role in sea-level rise , which is not an idea embraced by mainstream climate researchers .","Brooks then said that erosion plays a significant role in sea - level rise , which is not an idea embraced by mainstream climate researchers . ",This argument is fallacious.,1
4,Brooks added that Antarctic ice is growing .,Brooks added that Antarctic ice is growing . ,This argument is fallacious.,1
5,"Now , you could make a different argument if you want to talk about Greenland or the Arctic . ''","Now , MSK<0> could make a different argument if MSK<0> want to talk about Greenland or the Arctic . '' ",This argument is fallacious.,1
6,The Earth is not warming .,The Earth is not warming . ,This argument is fallacious.,1
7,The White Cliffs of Dover are tumbling into the sea and causing sea levels to rise .,The White Cliffs of Dover are tumbling into the MSK<0> and causing MSK<0> levels to rise . ,This argument is fallacious.,1
8,Global warming is helping grow the Antarctic ice sheet .,Global warming is helping grow the Antarctic ice sheet . ,This argument is fallacious.,1
9,"Rep. Bill Posey ( R-FL ) said scientists said in the 1970s that the Earth was cooling , a popular talking point of climate skeptics and the subject of a fake Time magazine cover that has become a meme .","Rep. Bill Posey ( R - FL ) said scientists said in the 1970s that the Earth was cooling , a popular talking point of climate skeptics and the subject of a fake Time magazine cover that has become a meme . ",This argument is fallacious.,1
10,,,This argument is fallacious.,1
11,"The epic amount of rain that led to deadly , catastrophic flooding across large parts of South Carolina and North Carolina is an example of exactly the type of supercharged storm system climate scientists have been warning about for years as a likely consequence of global warming .","The epic amount of rain that led to deadly , catastrophic flooding across large parts of MSK<0> and MSK<0> is an example of exactly the type of supercharged storm system climate scientists have been warning about for years as a likely consequence of global warming . ",This argument is fallacious.,1
12,"While it 's too soon to say precisely how global warming may have affected the rare confluence of events that conspired to dump at least 26.88 inches of rain in less than four days on South Carolina , changes in extreme precipitation events are one of global warming 's most well-documented climate change impacts .","While it 's too soon to say precisely how MSK<0> may have affected the rare confluence of MSK<1> that conspired to dump at least 26.88 inches of MSK<3> in less than four days on South Carolina , MSK<2> in extreme MSK<3> MSK<1> are one of MSK<0> most well - documented climate MSK<2> impacts . ",This argument is fallacious.,1
13,"Updated data from NASA satellite instruments reveal the Earth ’ s polar ice caps have not receded at all since the satellite instruments began measuring the ice caps in 1979 . Since the end of 2012 , moreover , total polar ice extent has largely remained above the post-1979 average .","Updated data from MSK<0> reveal MSK<1> have not receded at all since MSK<0> began measuring MSK<1> in MSK<2> . Since the end of 2012 , moreover , total polar ice extent has largely remained above the MSK<2> average . ",This argument is fallacious.,1
14,Nicklen is no stranger to bears .,Nicklen is no stranger to bears . ,This argument is fallacious.,1
15,The study found climate deniers are able to downplay the threat of climate change by discrediting the threat facing polar bears .,The study found climate deniers are able to downplay MSK<0> by discrediting MSK<0> . ,This argument is fallacious.,1
16,"But the emaciated polar bear , featured in videos Nicklen published to social media on December 5 , was one of the most gut-wrenching sights he 's ever seen .","But the emaciated polar bear , featured in videos Nicklen published to social media on December 5 , was one of the most gut - wrenching sights he 's ever seen . ",This argument is fallacious.,1
17,"`` We stood there crying—filming with tears rolling down our cheeks , '' he said .","MSK<1> MSK<0> stood there crying — filming with tears rolling down MSK<0> cheeks , MSK<1> he said . ",This argument is fallacious.,1
