Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,source_article,updated_label,masked_articles,Unnamed: 0.3,is_fallacy 
0,0,0,0,0,0,0,0,0,0,0,0,0,1738.0,People who drive big cars probably hate the environment.,fallacy of extension,People who drive big cars probably hate the environment . ,,1
1,1,1,1,1,1,1,1,1,1,1,1,1,168.0,"White men can't jump. No, really, they can't!",faulty generalization,"MSK<0> can't jump . No , really , MSK<0> can't ! ",,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1331.0,"'Cotton and grain crops were lower this year than last. So, people must be stealing them."" This is an example of what kind of logical fallacy?",fallacy of logic,"' Cotton and grain crops were lower this year than last . So , MSK<0> must be stealing MSK<0> . "" This is an example of what kind of logical fallacy ? ",,1
3,3,3,3,3,3,3,3,3,3,3,3,3,449.0,"""Why are you hitting your computer!?"" ""The last time my wifi was weak, I hit my computer and it got better."" What is this?",false causality,""" Why are MSK<0> MSK<1> MSK<0> !? "" "" The last time MSK<2> was weak , MSK<2> MSK<1> coref1 and coref3 got better . "" What is this ? ",,1
4,4,4,4,4,4,4,4,4,4,4,4,4,130.0,All students are good and all clowns are bad.,faulty generalization,All students are good and all clowns are bad . ,,1
5,5,5,5,5,5,5,5,5,5,5,5,5,1747.0,"""People who don't support the proposed state minimum wage increase must hate the poor so much.""  Which logical fallacy is used in the statement above?",fallacy of extension,""" People who don't support the proposed state minimum wage increase must hate the poor so much . "" Which logical fallacy is used in the statement above ? ",,1
6,6,6,6,6,6,6,6,6,6,6,6,6,1688.0,"Charlie: Illegal posting and sharing of songs online is crippling the music industry. Bob: You couldn't be more wrong; the music industry is doing just fine! I can't believe you think the government should be allowed to regulate what I share with my friends. No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension,"Charlie : Illegal posting and MSK<2> of songs online is crippling MSK<0> . MSK<1> : MSK<1> couldn't be more wrong ; MSK<0> is doing just fine ! MSK<1> can't believe MSK<1> think the government should be allowed to regulate what MSK<1> MSK<2> with MSK<1> friends . No one wants a world where MSK<1> can't loan a book to MSK<1> girlfriend , let MSK<1> roommate borrow MSK<1> iPod , or MSK<2> a funny meme with MSK<1> blog followers . ",,1
7,7,7,7,7,7,7,7,7,7,7,7,7,361.0,"Paige wants to play a guitar solo on our next recording. Her father is a horrible musician, though, so I doubt that Paula's any good either.",faulty generalization,"MSK<0> wants to play a guitar solo on our next recording . MSK<0> father is a horrible musician , though , so I doubt that Paula 's any good either . ",,1
8,8,8,8,8,8,8,8,8,8,8,8,8,1964.0,"My sister-in-law, who is a teacher, said that this school is not somewhere that I would want to send my children.",fallacy of credibility,"MSK<0> sister - in - law , who is a teacher , said that this school is not somewhere that MSK<0> would want to send MSK<0> children . ",,1
9,9,9,9,9,9,9,9,9,9,9,9,9,737.0,something that kills is deadly,circular reasoning,something that kills is deadly ,,1
10,10,10,10,10,10,10,10,10,10,10,10,10,423.0,"“The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise.”",false causality,"MSK<3> MSK<0> crows always before MSK<1> MSK<2> , therefore MSK<0> causes MSK<1> to MSK<2> . MSK<3> ",,1
11,11,11,11,11,11,11,11,11,11,11,11,11,67.0,1 = a number; 2 = a number; therefore 1 = 2.,faulty generalization,MSK<0> = a MSK<1> ; MSK<0> = a MSK<1> ; therefore MSK<0> = MSK<0> . ,,1
12,12,12,12,12,12,12,12,12,12,12,12,12,1111.0,“against the man;” attacking the individual rather than their position.,ad hominem,MSK<0> against the man ; MSK<0> attacking the individual rather than their position . ,,1
13,13,13,13,13,13,13,13,13,13,13,13,13,856.0,"Makes the claim that EVERYONE is using this product, and you should, too.",ad populum,"Makes the claim that EVERYONE is using this product , and you should , too . ",,1
14,14,14,14,14,14,14,14,14,14,14,14,14,101.0,I can't trust the mayor or the governor. All politicians must be liars.,faulty generalization,I can't trust the mayor or the governor . All politicians must be liars . ,,1
15,15,15,15,15,15,15,15,15,15,15,15,15,2124.0,"""I'm French and I don't like cheese."" ""All French like cheese."" ""I don't."" ""Then you must not really be French.""",intentional,""" MSK<0> 'm MSK<1> and MSK<0> don't MSK<3> . "" "" All MSK<1> MSK<3> . "" "" MSK<0> don't . "" "" Then you must not really be MSK<1> . "" ",,1
16,16,16,16,16,16,16,16,16,16,16,16,16,799.0,Everyone is going to get the new smart phone when it comes out this weekend. Why aren’t you?,ad populum,Everyone is going to get MSK<0> when MSK<0> comes out this weekend . Why are n’t you ? ,,1
17,17,17,17,17,17,17,17,17,17,17,17,17,1281.0,Encampment is like basic training. It’s CAP’s equivalent to Boot Camp.,fallacy of logic,MSK<0> is like basic training . MSK<0> ’s CAP ’s equivalent to Boot Camp . ,,1
18,18,18,18,18,18,18,18,18,18,18,18,18,973.0,We cannot listen to John’s opinion on global warming because he is a tree hugger.,ad hominem,We can not listen to John ’s opinion on global warming because he is a tree hugger . ,,1
19,19,19,19,19,19,19,19,19,19,19,19,19,2118.0,Kerry’s plan will raise taxes by at least $900 billion his first hundred days.,intentional,Kerry ’s plan will raise taxes by at least $ 900 billion his first hundred days . ,,1
