Unnamed: 0,argument,sa_argument,hypothesis,is_fallacy
1528,"Because students do not do homework virtually when quarantined, we should get rid of all computers.","Because students do not do homework virtually when quarantined , we should get rid of all computers . ",This argument is fallacious.,1
1906,"The Church used to claim that giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so clearly giving money to the Church is a scam!","MSK<0> used to claim that giving 10 % of your income to MSK<0> will free a child ’s soul from Limbo into Heaven , so clearly giving money to MSK<0> is a scam ! ",This argument is fallacious.,1
453,"“Eat great food at our restaurant, or eat sad, boring meals at home.”","MSK<1> MSK<0> great food at our restaurant , or MSK<0> sad , boring meals at home . MSK<1> ",This argument is fallacious.,1
320,"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change"".","MSK<0> didn't want to participate in the beach cleanup . Later , MSK<0> says "" MSK<0> can't MSK<1> MSK<0> doesn't MSK<1> in climate change "" . ",This argument is fallacious.,1
655,"You call your cell phone provider to complain about how poor your cell phone battery life is after the recent software update. The representative, instead of responding to your concern, praises the provider’s new unlimited text-messaging plans that are due to be released in the next month.","MSK<0> call MSK<0> to complain about how poor MSK<0> cell phone battery life is after the recent software update . The representative , instead of responding to MSK<0> concern , praises coref1 new unlimited text - messaging plans that are due to be released in the next month . ",This argument is fallacious.,1
1793,Compares minor problems with much more serious crimes,Compares minor problems with much more serious crimes ,This argument is fallacious.,1
289,"Oh, please. What do you know about labor laws? You don't even have a job.","Oh , please . What do MSK<0> know about labor laws ? MSK<0> don't even have a job . ",This argument is fallacious.,1
156,Which type of appeal is used in the following phrases from the Declaration of Independence: “appealing to the Supreme Judge of the world” and “with a firm reliance on the protection of divine providence”?,Which type of MSK<0> is used in the following phrases from the Declaration of Independence : MSK<1> MSK<0> to the Supreme Judge of the world MSK<1> and MSK<1> with a firm reliance on the protection of divine providence MSK<1> ? ,This argument is fallacious.,1
616,My teacher always brings up stuff about Women's Rights. She only cares about it because she is a woman. The stats she shows us are probably bias.,MSK<0> always brings up stuff about MSK<1> 's Rights . MSK<0> only cares about it because MSK<0> is a MSK<1> . The stats MSK<0> shows us are probably bias . ,This argument is fallacious.,1
53,I don't see how you can say you're an ethical person. It's so hard to get you to do anything; your work ethic is so bad,I don't see how MSK<0> can say MSK<0> 're an ethical person . It 's so hard to get MSK<0> to do anything ; MSK<0> work ethic is so bad ,This argument is fallacious.,1
148,"Mob of people: Lower taxes! Lower taxes!

Politician: People, your taxes are high because of illegal immigrants. That's right—illegal immigrants. We need to get rid of them.

Mob of people: (murmuring amongst themselves) Hmmm... immigrants. Let's get rid of them!","MSK<0> of MSK<1> : MSK<2> MSK<3> ! MSK<2> MSK<3> ! Politician : MSK<1> , your MSK<3> are high because of MSK<4> MSK<5> . That 's right — MSK<4> MSK<5> . We need to get MSK<6> of MSK<7> . MSK<0> of MSK<8> : ( murmuring amongst MSK<8> ) Hmmm ... MSK<5> . Let 's get MSK<6> of MSK<7> ! ",This argument is fallacious.,1
232,All of those who hate the Duterte administration are CPP-NPA supporters.,All of those who hate the Duterte administration are CPP - NPA supporters . ,This argument is fallacious.,1
938,"""People who don't support the proposed state minimum wage increase hate the poor.""",""" People who don't support the proposed state minimum wage increase hate the poor . "" ",This argument is fallacious.,1
567,"Dan White ate a lot of Twinkies and then killed the Mayor of San Francisco. If I were a mayor, I’d ban Twinkies so no one would kill me.","MSK<0> ate a lot of MSK<1> and then MSK<2> the MSK<3> of San Francisco . If MSK<0> were a MSK<3> , MSK<0> ’d ban MSK<1> so no one would MSK<2> MSK<0> . ",This argument is fallacious.,1
1599,"the claim, as evidence for an idea, that many people believe it, or used to believe it or do it.","MSK<0> , as evidence for an idea , that many people MSK<1> MSK<0> , or used to MSK<1> MSK<0> or do MSK<0> . ",This argument is fallacious.,1
793,My way of responding to difficult patients is by far the most ethical because no other way is so ethical and it is the only way that is completely ethical.,MSK<0> is by far the most MSK<1> because no other MSK<2> is so MSK<1> and MSK<0> is the only MSK<2> that is completely MSK<1> . ,This argument is fallacious.,1
1814,"to define a person based on faulty opinions derived by judgments made about a group, a class, or race of people","to define a person based on faulty opinions derived by judgments made about a group , a class , or race of people ",This argument is fallacious.,1
478,"You've never visited another country, so who cares what you say about immigration reform!","MSK<0> 've never visited another country , so who cares what MSK<0> say about immigration reform ! ",This argument is fallacious.,1
2434,"Speaker 1: I’m against the war.
Speaker 2: You must hate our troops.",MSK<1> : I ’m against the war . MSK<1> : You must hate our troops . ,This argument is fallacious.,1
1957,"You've got to teach the boys logic! If you don't teach them logic, they won't learn how to think! And they'll become hobos and die in prison! Don't you care about your sons? (Mother to Father)","MSK<0> 've got to MSK<1> the boys MSK<2> ! If MSK<0> don't MSK<1> MSK<3> MSK<2> , MSK<3> won't learn how to think ! And MSK<3> 'll become hobos and die in prison ! Don't MSK<0> care about MSK<0> sons ? ( MSK<4> to MSK<4> ) ",This argument is fallacious.,1
1991,"I refuse to stay on the 13th floor of any hotel because it is bad luck.  However, I don’t mind staying on the same floor as long as we call it the 14th floor.","MSK<0> refuse to MSK<1> on the MSK<4> MSK<2> of MSK<3> because MSK<3> is bad luck . However , MSK<0> do n’t mind MSK<1> on the same MSK<2> as long as we call MSK<3> the MSK<4> MSK<2> . ",This argument is fallacious.,1
33,"Bill: Hey, did you hear we have a new operating system out now?  It is better than anything else out there because we just released it!
Steve: What’s it called?
Bill: Windows Vista!
Steve: Sounds wonderful!  I can’t wait until all of your users install it on all their computers!
","MSK<0> : Hey , did MSK<0> hear MSK<1> have a new operating system out now ? MSK<2> is better than anything else out there because MSK<1> just released MSK<2> ! MSK<3> : What ’s MSK<2> called ? MSK<0> : Windows Vista ! MSK<3> : Sounds wonderful ! I ca n’t wait until MSK<4> MSK<0> install MSK<2> on all MSK<4> computers ! ",This argument is fallacious.,1
405,"Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true!","Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that , unfortunately , disappeared back into heaven , must be true ! ",This argument is fallacious.,1
1625,Encourages the audience to become part of a group or act because other people are acting in the same way.,Encourages the audience to become part of a group or MSK<0> because other people are MSK<0> in the same way . ,This argument is fallacious.,1
2240,"Trump cites (biased) poll results showing that people think he’s a strong leader to prove a point that he is a strong leader.

ABC News/Washington Post Poll (wrong big on election) said almost all stand by their vote on me & 53% said strong leader.",MSK<0> cites ( biased ) MSK<1> results showing that people think MSK<0> ’s a MSK<3> to prove a point that MSK<0> is a MSK<3> . ABC News / Washington Post MSK<1> ( wrong big on election ) said MSK<4> stand by MSK<4> vote on me & 53 % said MSK<3> . ,This argument is fallacious.,1
1529,"The students in my sixth-grade class listen to a lot of reggaeton music. I usually hear reggaeton when they have their headphones or earphones on while working on NoRedInk. All sixth graders must listen to reggaeton.

What type of faulty reasoning is being used?",The students in MSK<0> MSK<1> - grade class MSK<2> to a lot of MSK<3> music . MSK<0> usually hear MSK<3> when MSK<4> have MSK<4> MSK<5> or MSK<5> on while working on NoRedInk . All MSK<1> graders must MSK<2> to MSK<3> . What type of faulty reasoning is being used ? ,This argument is fallacious.,1
1713,When someone says that what is true of something as a whole must also be true of each of its parts.,When someone says that what is MSK<0> of something as a whole must also be MSK<0> of each of its parts . ,This argument is fallacious.,1
2194,All required university courses are boring.,All required university courses are boring . ,This argument is fallacious.,1
579,"Ted: Biological evolution is both a theory and a fact.

Edwin: That is ridiculous!  How can you possibly be absolutely certain that we evolved from pond scum!

Ted: Actually, that is a gross misrepresentation of my assertion.  I never claimed we evolved from pond scum.  Unlike math and logic, science is based on empirical evidence and, therefore, a scientific fact is something that is confirmed to such a degree that it would be perverse to withhold provisional consent.  The empirical evidence for the fact that biological evolution does occur falls into this category.","MSK<0> : MSK<1> is both a theory and a MSK<2> . Edwin : MSK<3> is ridiculous ! How can you possibly be absolutely certain that MSK<5> from MSK<7> ! MSK<0> : Actually , MSK<3> is a gross misrepresentation of MSK<8> assertion . MSK<8> never claimed MSK<5> from MSK<7> . Unlike math and logic , science is based on MSK<9> MSK<10> and , therefore , MSK<11> is something that is confirmed to such a degree that MSK<11> would be perverse to withhold provisional consent . The MSK<9> MSK<10> for the MSK<2> that MSK<1> does occur falls into this category . ",This argument is fallacious.,1
1771,"The city should not be singling out our company's problems at our chemical storage facilities, when the EPA records indicate the city's very own landfill has been cited as needing improvements. The council needs to clean up its own mess, before they go after us.","MSK<0> should not be singling out MSK<1> company 's problems at MSK<1> chemical storage facilities , when the EPA records indicate MSK<0> very own landfill has been cited as MSK<2> improvements . MSK<3> MSK<2> to clean up MSK<3> own mess , before MSK<3> go after MSK<1> . ",This argument is fallacious.,1
1248,"Donald Trump Jr. Tweeted:
If I had a bowl of skittles and I told you just three would kill you. Would you take a handful? That's our Syrian refugee problem.
",Donald Trump Jr. . Tweeted : If MSK<0> had a bowl of skittles and MSK<0> told MSK<1> just three would kill MSK<1> . Would MSK<1> take a handful ? That 's our Syrian refugee problem . ,This argument is fallacious.,1
