Unnamed: 0.1,Unnamed: 0,Label,Argument,Claim,Type of Argument,Type of fallacy,Pros,Cons,is_fallacy,masked_articles
0,0,This is an ad hominem argument.,"Jeremy Bentham also expressed, If the believers in natural rights had their way, it would lead to “anarchy.” Since that has not happened it is more likely that Bentham was either wishing to grab power for himself or that he was just being pessimistic.","Natural rights/laws are ""nonsense on stilts"": they cannot possibly be both meaningful and actual.",Con,ad hominem,],],1.0,"MSK<0> also expressed , If MSK<1> had MSK<1> way , MSK<2> would lead to MSK<3> anarchy . MSK<3> Since that has not happened MSK<2> is more likely that MSK<0> was either wishing to grab power for MSK<0> or that MSK<0> was just being pessimistic . "
1,2,This is an ad hominem logical fallacy it attacks the source of the evidence rather than the evidence itself.,Research published in the BYU Studies Quarterly is of questionable accuracy given that the publishing university is owned by the LDS church.,"Apart from Chaismus, there are many forms of Hebraic writing in the text of the Book of Mormon which are natural to Hebrew yet awkward-sounding in English.Hugh W. Pinnock, ""Finding Biblical Hebrew and Other Ancient Literary Forms in the Book of Mormon"", FARMS, 1999",Con,ad hominem,],"'The funding source can influence the content of a study, such as when the sugar industry paid scientists to forge results in the 1960s.']",1.0,MSK<1> MSK<0> in the BYU MSK<1> Quarterly is of questionable accuracy given that the MSK<0> university is owned by the LDS church . 
2,3,"More Church politics could also mean more ad Hominem attacks, as has become the norm in modern politics, as opposed to the discussion of real policy issues.",More church politics would mean more productive discussions on how to make the Church more about Christianity.,Having public elections would make the Church become less about Christianity and more about politics.,Con,ad hominem,],],1.0,More MSK<0> politics would mean more productive discussions on how to make the MSK<0> more about Christianity . 
3,4,"This is an ad hominem \(either guilt by association or poisoning the well\). The fact that the Nazis used a similar defense does not make any statement about the defense or R.E.L. It would be like saying: ""Nazis filed paperwork in service to the Reich, which is dangerously close to what many Americans do today...""","""...he fought for those ideas because they were more or less democratically voted upon.""  This gets dangerously close to the Nazi defense at Nuremburg \reference analysis",Robert E. Lee is remembered for his sense of honor and duty. In fact he was not a staunch supporter of slavery or secession but fought for these ideas because they had been more or less democratically decided upon.,Con,ad hominem,],],1.0,""" ... he fought for those ideas because they were more or less democratically voted upon . "" This gets dangerously close to the Nazi defense at Nuremburg \ reference analysis "
4,5,This seems like an ad hominem attack.,"Islamic ethicists regard women as property of men, and are therefore unable to deliver an ethically sound opinion on abortion.",Some Islamic ethicists consider abortion to involve taking someone's life.,Con,ad hominem,],],1.0,"Islamic ethicists regard women as property of men , and are therefore unable to deliver an ethically sound opinion on abortion . "
5,12,To imply that someone is unreliable simply because of who they are related to is an ad hominem attack.,The credibility of the Book of Mormon witnesses is lessened by the fact that they were mostly related to one another making them less independent sources.,"An angel appeared to Joseph Smith, David Whitmer, Oliver Cowdery, and Martin Harris and showed them the golden plates upon which the Book of Mormon was translated from. The angel turned the leaves over one by one so all the witnesses could view them.",Con,ad hominem,],"'In the specific case of examining eyewitness claims, evaluating the credibility of the eyewitnesses is accepted and not considered an ad hominem.']",1.0,The credibility of the Book of MSK<0> is lessened by the fact that MSK<0> were mostly related to one another making MSK<0> less independent sources . 
6,13,"In the specific case of examining eyewitness claims, evaluating the credibility of the eyewitnesses is accepted and not considered an ad hominem.",To imply that someone is unreliable simply because of who they are related to is an ad hominem attack.,The credibility of the Book of Mormon witnesses is lessened by the fact that they were mostly related to one another making them less independent sources.,Con,ad hominem,],],1.0,To imply that MSK<0> is unreliable simply because of who MSK<0> are related to is an ad hominem attack . 
7,14,"The parent commits the ad hominem fallacy attacking the source rather than the argument itself. Moreover, this data is not from FRC. It is the chapter of a well-known book that FRC has simply placed on their site.",The FRC is anti-LGBT presenting data in light of their own biases in misleading ways.,"There exists a large body of research that homosexual behavior is a major health risk Thus, conversion therapy should be protected by law because individuals may want to avoid these health risks.",Con,ad hominem,],],1.0,MSK<0> is anti-LGBT presenting data in light of MSK<0> own biases in misleading ways . 
8,15,"This is ad hominem fallacy i.e., the person raising the argument is bad or mad, there any ideas he suggests are useless.","The people who believe Trump has committed treason, the penalty for which is death, appear to be suffering from a cognitive dissonance disorder that therapists are calling Trump Anxiety Disorder \(TAD also known by some as Trump Derangement Syndrome",Trump has committed treason.,Con,ad hominem,],],1.0,"The people who believe MSK<0> has committed treason , the penalty for which is death , appear to be suffering from a cognitive dissonance MSK<1> that therapists are calling MSK<0> Anxiety MSK<1> \ ( TAD also known by some as MSK<0> Derangement Syndrome "
9,17,This is ad hominem or a genetic fallacy and is thus fallacious.,"Those with the view, ""There is no objective reason to obey God"" carry with them a bias. This bias would result in the substantiation for lack of a need for God, and by proxy, a lack of admittance to their being objective morals standards. But object standards don't need anyone to follow them to be the standard of all. Thus all that is left is the commitment to the bias.",There is no objective reason to obey God. Thus God's commands have no normative force and so cannot serve as the basis for objective morality.,Con,ad hominem,],],1.0,"MSK<0> , "" There is no MSK<1> reason to obey MSK<2> "" carry with MSK<0> MSK<3> . MSK<3> would result in the substantiation for MSK<4> of a MSK<5> for MSK<2> , and by proxy , a MSK<4> of admittance to MSK<6> being MSK<1> morals MSK<7> . But object MSK<7> don't MSK<5> anyone to follow MSK<6> to be the MSK<7> of all . Thus all that is left is the commitment to MSK<3> . "
10,18,"PC culture supports terminology designed to ensure groups typically deflected, discouraged, or emotionally and psychologically harmed by improper terminology are welcomed to discourse, thereby encouraging discourse by removing linguistic ad hominem.",Political correctness enables free speech for those that would be attacked personally otherwise.,Censorship of some speech is necessary for the free speech of others.,Pro,ad hominem,],"""Because everyone has a different perception of what can be said, political correctness tends to silence people. People do not speak because they fear hurting someone's feelings."", 'Attempting to remove linguistic ad hominem across the board, for all people, in all situations, at all times, by creating a comprehensive set of acceptable and unacceptable words and phrases, and an enforcement mechanism \\(presumably, legislation\\), is a horrifying idea.']",1.0,Political correctness enables free speech for those that would be attacked personally otherwise . 
11,20,"Personal attacks \(ad hominem\) on the base of an individual's fundamental characteristic\(s\) are not part of free speech, and as such have no place in public discourse.",Attacks are part of free speech. Using science and logic to debunk these attacks has more value than dismissing them on the basis that you don't like them.,Political correctness enables free speech for those that would be attacked personally otherwise.,Con,ad hominem,],],1.0,MSK<0> are part of free speech . Using science and logic to debunk MSK<0> has more value than dismissing MSK<0> on the basis that you don't like MSK<0> . 
12,21,Which is an ad hominem attack that doesn’t address the substance of the argument.,One scholar compared the legitimacy of the anti-Strafordian theory in Shakespearean academic circles with the credibility given by astronauts to the idea that the moon landings were faked.,"This is considered a fringe theory among academics, almost all of whom recognize William Shakespeare as the true author.",Pro,ad hominem,],],1.0,One scholar compared the legitimacy of the anti-Strafordian theory in Shakespearean academic circles with the credibility given by astronauts to the idea that the moon landings were faked . 
13,22,Ad hominem nonsense. The link in the comment attempts to dismiss anti-Stratfordian arguments by attacking the motives of those making them while ignoring the actual arguments themselves. This is not scholarship; it's insults and namecalling.,"The issue at the heart of the anti-Stratfordian theory is that it is perceived as unbelievable that a son of a glover from a small town in the middle of nowhere could be one the greatest writer ever, not that there is no evidence.","Many scholars argue that the theory that the William Shakespeare of Stratford-upon-Avon is not the true William Shakespeare, the famous writer, are not rooted in evidence, but rather classism.",Pro,ad hominem,],],1.0,"MSK<0> is that MSK<0> is perceived as unbelievable that a son of a glover from a small town in the middle of nowhere could be one the greatest writer ever , not that there is no evidence . "
14,23,"Pure ad hominem nonsense. Those offering evidence against the man from Stratford have a right to have that evidence considered on its own merits. Labeling them ""classists"" is nothing but namecalling.","Many scholars argue that the theory that the William Shakespeare of Stratford-upon-Avon is not the true William Shakespeare, the famous writer, are not rooted in evidence, but rather classism.","This is considered a fringe theory among academics, almost all of whom recognize William Shakespeare as the true author.",Pro,ad hominem,],],1.0,"Many scholars argue that the theory that the MSK<1> of Stratford - upon - Avon is not the true MSK<1> , the famous writer , are not rooted in evidence , but rather classism . "
15,24,This is an argumentum ad hominem; his statements should be assessed independently of his person.,"Basham has made false claims about his qualifications and experience before, including falsely claiming to possess a PhD thus is a potentially questionable source.","Basham, the founding director of the Democracy Institute, claimed several statistical anomalies in voting data. \(foxnews.com",Con,ad hominem,],"""Basham's arguments are largely unevidenced, disputed, and/or opinions, and thus are often backed up only by his self claimed expertise. Therefore it is entirely valid to question both his honesty and expertise.""]",1.0,"MSK<0> has made false MSK<1> about MSK<0> qualifications and experience before , including falsely MSK<1> to possess a PhD thus is a potentially questionable source . "
16,25,"If the Republicans ""score points"" by putting forward such good policies that the Democrats can vote for them despite their ad hominem hatred of Trump, then we are not going to have ""4 more years of bad policies"".","The issue is that giving Republicans 'points on the board' risks keeping them in power, which, from the Democrats' perspective, would guarantee four more years of bad policy.","In a true democracy, policy for the people should be the priority. If Democrats have to risk giving Trump or the Republicans points on the board, so that the best policies can be put forward, then they should. Opposition for opposition's sake is undemocratic.",Con,ad hominem,],],1.0,"The issue is that giving MSK<0> points on the board ' risks keeping MSK<0> in power , which , from the Democrats ' perspective , would guarantee four more years of bad policy . "
17,27,"""The noetic effects of sin"" is equivalent of saying to those who don't believe in God, ""your God detector is broken because you are evil"". This is an argument ad hominem.","God has so constituted us that we naturally form belief in Him under certain circumstances; since the belief is thus formed by properly functioning cognitive faculties in an appropriate environment, it is warranted for us, and, insofar as our faculties are not disrupted by the noetic effects of sin, we shall believe this proposition deeply and firmly, so that we can be said, in virtue of the great warrant accruing to this belief for us, to know that God exists.”",Belief in God is not merely justified but also warranted. Warrant is that property that converts mere true belief into knowledge when possessed in sufficient degree.,Pro,ad hominem,],"'Theists and atheists alike are impacted by the noetic effects of sin. The manifestation of the noetic effects of sin among theists could be different from atheists. For atheists, it may affect their belief in God but not necessarily their personal morals. For the theist, sin could keep them entrapped and committed to a way of life that God never intended for them to live. The impacts are different, but theists are subject to the effects of sin as well.']",1.0,"MSK<0> has so constituted MSK<1> that MSK<2> naturally MSK<3> MSK<7> in Him under certain circumstances ; since MSK<4> is thus MSK<3> by properly functioning cognitive MSK<5> in an appropriate environment , MSK<4> is MSK<6> for MSK<2> , and , insofar as MSK<1> MSK<5> are not disrupted by the noetic effects of sin , MSK<2> shall MSK<7> this proposition deeply and firmly , so that MSK<1> can be said , in virtue of the great MSK<6> accruing to MSK<4> , to know that MSK<0> exists . ” "
18,28,"Under liberal democratic systems, privacy creates a space separate from political life, and allows personal autonomy, while ensuring democratic freedoms of association and expression. Without it people will be judgemental with who you associate and not focus on your actual words. This will reduce a lot of debates even between normal people to ad hominem remarks.","This would ruin any form of diversity resulting in the mistreatment of people with different cultures. The system will go from liberal to far left in an instant. In the long run it won't allow people with different values to coexist. This opposes the initial idea of ""liberal democracy"". Liberal democracy is based on the idea of classical liberalism and advocates for civil liberties — such as privacy — under the rule of law.",This will lead to widespread discrimination against certain groups.,Pro,ad hominem,],],1.0,"MSK<0> would ruin any form of diversity resulting in the mistreatment of MSK<1> with MSK<2> cultures . MSK<3> will go from MSK<4> to far left in an instant . In the long run MSK<3> won't allow MSK<1> with MSK<2> values to coexist . MSK<0> opposes the initial MSK<5> of "" MSK<4> MSK<6> "" . MSK<4> MSK<6> is based on the MSK<5> of classical MSK<4> and advocates for civil liberties MSK<7> such as privacy MSK<7> under the rule of law . "
19,29,Hate speech is an Ad Hominem logical fallacy and often a sweeping generalisation and therefore are invalid and should not be in an argument.,Political correctness is a necessary means to combat hate speech.,A culture of political correctness protects minorities and those who feel outcast.,Pro,ad hominem,],],1.0,Political correctness is a necessary means to combat hate speech . 
20,30,"Personal attacks \(ad hominem\) on the base of an individual's fundamental characteristic\(s\) are not part of free speech, and as such have no place in public discourse.",Attacks are part of free speech. Using science and logic to debunk these attacks has more value than dismissing them on the basis that you don't like them.,Political correctness enables free speech for those that would be attacked personally otherwise.,Con,ad hominem,],],1.0,MSK<0> are part of free speech . Using science and logic to debunk MSK<0> has more value than dismissing MSK<0> on the basis that you don't like MSK<0> . 
21,31,"PC culture supports terminology designed to ensure groups typically deflected, discouraged, or emotionally and psychologically harmed by improper terminology are welcomed to discourse, thereby encouraging discourse by removing linguistic ad hominem.",Political correctness enables free speech for those that would be attacked personally otherwise.,A culture of political correctness protects minorities and those who feel outcast.,Pro,ad hominem,],"""Because everyone has a different perception of what can be said, political correctness tends to silence people. People do not speak because they fear hurting someone's feelings."", 'Attempting to remove linguistic ad hominem across the board, for all people, in all situations and at all times, by creating a comprehensive set of acceptable and unacceptable words and phrases, and an enforcement mechanism \\(presumably, legislation\\), requires a totalitarian approach to curtail the freedom of speech.']",1.0,Political correctness enables free speech for those that would be attacked personally otherwise . 
22,32,"Attempting to remove linguistic ad hominem across the board, for all people, in all situations and at all times, by creating a comprehensive set of acceptable and unacceptable words and phrases, and an enforcement mechanism \(presumably, legislation\), requires a totalitarian approach to curtail the freedom of speech.","PC culture supports terminology designed to ensure groups typically deflected, discouraged, or emotionally and psychologically harmed by improper terminology are welcomed to discourse, thereby encouraging discourse by removing linguistic ad hominem.",Political correctness enables free speech for those that would be attacked personally otherwise.,Pro,ad hominem,],],1.0,"PC culture supports MSK<0> designed to ensure groups typically deflected , MSK<2> , or MSK<3> and MSK<3> harmed by improper MSK<0> are welcomed to MSK<1> , thereby MSK<2> MSK<1> by removing linguistic ad hominem . "
23,33,'Political correctness' has become a catch-all phrase used an as ad hominem to avoid a meaningful argument.,PC is used by anti-PC people as a slanderous term for a noble action.,PC culture becoming mainstream has lead to the formation of a counter PC culture that seeks to undermine and refute PC culture by any means necessary regardless of possible impact to their local communities and the people within them.,Pro,ad hominem,"'-> See 1.1.1.2.5.1.1.1.10.2.', ""PC can be used as a pejorative term, along with words like 'snowflake'."", '""Political correctness"" implies that the purpose for modifying one\'s speech is to comply with public or popular opinions. This entirely misses the point. Opponents of derogatory speech are intentionally trying to promote a society that is built for everyone, not just those in control.']",'Political correctness is a type of language or behaviour. 'Political correctness is a practice. 'Political correctness is an attitude or policy.,1.0,PC is used by anti-PC people as a slanderous term for a noble action . 
24,34,This is an ad hominem fallacy as the group associations of an author have no bearing on the truth value of their works.,"""The Four Horsemen"" are unrepresentative of broader society as they are all heterosexual white men who are these four “new atheist” crusaders \(yes, they may deny it, but they are indeed very much the product of the white Western Christian crusader tradition\)? They are all white older men, who have never embarked on studying Islam, do not speak Arabic – the language of the Qur’an – and certainly have no special insight into any Muslim community on earth. They are, literally, illiterate.).","""The Four Horsemen"" 2007, Christopher Hitchens, Richard Dawkins, Sam Harris, and Daniel Dennett filmed a landmark discussion about modern atheism. The video went viral. Now in print for the first time, the transcript of their conversation is illuminated by new essays from three of the original participants and an introduction by Stephen Fry.\n\nAt the dawn of the new atheist movement, the thinkers who became known as “the four horsemen,” the heralds of religion’s unraveling—Christopher Hitchens, Richard Dawkins, Sam Harris, and Daniel Dennett—sat down together over cocktails.) of New Atheism successfully pushed themselves to the forefront of public debates on religion.",Con,ad hominem,],],1.0,""" MSK<0> "" are unrepresentative of broader society as MSK<0> are all heterosexual MSK<1> MSK<2> who are MSK<0> \ ( yes , MSK<0> may deny it , but MSK<0> are indeed very much the product of the MSK<1> Western Christian crusader tradition \ ) ? MSK<0> are all MSK<1> older MSK<2> , who have never embarked on studying MSK<4> , do not speak Arabic MSK<3> the language of the Qur ’ an MSK<3> and certainly have no special insight into any MSK<4> community on earth . MSK<0> are , literally , illiterate . ) . "
25,36,The parent is a generalized ad hominem attack against theists. All the same points could be made of atheists in one form or another. This type of discussion is completely fruitless and should be ignored.,"While some theists are merely ignorant of the facts and become atheists when confronted with them, many theists really are that duplicitous, which makes them very frustrating to talk to. For some of them, this is likely subconscious compartmentalization to avoid cognitive dissonance rather than anything deliberate.","To suggest that one “knows in advance the experiment will fail” and thus has an “excuse prepared in advance,” is insulting to the extreme to an individual’s intellectual honesty.",Con,ad hominem,],"'There is no need to call it ad hominem, if the argument is closely connected with the claim itself.']",1.0,"While MSK<0> are merely ignorant of the facts and become atheists when confronted with MSK<0> , many theists really are that duplicitous , which makes MSK<0> very frustrating to talk to . For some of MSK<0> , MSK<0> is likely subconscious compartmentalization to avoid cognitive dissonance rather than anything deliberate . "
26,38,"""The noetic effects of sin""!? Translation: ""Your God detector is broken because you are evil"". This is a vicious ad hominem by Plantinga against everyone who is not a Christian like he is.","In relation to God, the parent could actually be the sensus divinitatis functioning properly. If God exists, we would EXPECT Him to place a sense within us that help us naturally believe He exists. Therefore, the parent could be just one example of this sense working \(although not necessarily properly...it may be malfunctioning due to the noetic effects of sin\).","Agent detection bias explains a lot of superstition/supernaturalism. This bias isn't just evident in humans. If the wind blows something over near a dog, its ears perk up and it barks at the source of the sound, just like if had be caused by an animal. If your caveman ancestors didn't jump at shadows like this, occasionally a shadow would have eaten them. So that one wasn't your ancestor. That's why humans often ""feel a presence"" \(i.e. a ""spirit""\) even when nothing is there.",Con,ad hominem,'There is a negative correlation between religiosity and incarceration. Atheists are less likely to be lawbreakers than theists.'],"'Under the Christian worldview, all humans \\(theists and atheists alike\\) suffer from the effects of sin. The impacts of sin are multifaceted and various. One of these possible impacts is spiritual blindness which means the more license sin has to control us, the more it keeps us in the dark. This is a problem for atheists and theists alike. Since the grandparent relates to belief in God, atheists appear singled out. However, the noetic affects of sin would apply to theists as much as atheists.']",1.0,"In relation to MSK<0> , MSK<1> could actually be the sensus divinitatis functioning MSK<2> . If MSK<0> MSK<3> , MSK<4> would EXPECT MSK<0> to place a MSK<5> within MSK<4> that help MSK<4> naturally believe MSK<0> MSK<3> . Therefore , MSK<1> could be just one example of this MSK<5> working \ ( although not necessarily MSK<2> ... it may be malfunctioning due to the noetic effects of sin \ ) . "
27,41,"This ancient practice including ad hominem for argumentum ad hominem, refers to several types of arguments, most of which are fallacious.) attacks, appeals to the worst and most base feelings within the stressed and distressed, building a wide base of blind, nonthinking and unwavering supporters.",President Trump constantly repeated buzzwords and phrases that were widely used by various hate groups to inspire enmity against a wide array of minority groups.,"By playing identity politics and picking a definitive side on hundreds of controversial topics, President Trump created many small groups of ""us"" vs ""them""",Pro,ad hominem,],],1.0,President Trump constantly repeated buzzwords and phrases that were widely used by various hate MSK<0> to inspire enmity against a wide array of minority MSK<0> . 
28,42,"That is called ""fallacy ad hominem meaning that you pose that homeopathy is not included in the public system because there are economic interests behind it, thus considering that action unreasoned.","There are many homeopathic options that work and are scientifically proven the issue is the pharmaceutical companies spend billions making pills and then use marketing power to spread claimed benefits while blushing over negative side effects. If the insurance companies opened up options to use homeopathic resources, the ones that work would quickly surface while the snake oil options would also be exposed by open market selection and public reviews of the results.",Some studies have found benefits for homeopathy.,Pro,ad hominem,],],1.0,"There are MSK<0> is MSK<1> spend billions making pills and then MSK<2> marketing power to spread claimed benefits while blushing over negative side effects . If MSK<1> MSK<3> up options to MSK<2> homeopathic resources , the ones that work would quickly surface while MSK<0> would also be exposed by MSK<3> market selection and public reviews of the results . "
