,argument,sa_argument,hypothesis,is_fallacy
0,"Jeremy Bentham also expressed, If the believers in natural rights had their way, it would lead to “anarchy.” Since that has not happened it is more likely that Bentham was either wishing to grab power for himself or that he was just being pessimistic.","MSK<0> also expressed , If MSK<1> had MSK<1> way , MSK<2> would lead to MSK<3> anarchy . MSK<3> Since that has not happened MSK<2> is more likely that MSK<0> was either wishing to grab power for MSK<0> or that MSK<0> was just being pessimistic . ",This argument is fallacious.,1.0
1,Research published in the BYU Studies Quarterly is of questionable accuracy given that the publishing university is owned by the LDS church.,MSK<1> MSK<0> in the BYU MSK<1> Quarterly is of questionable accuracy given that the MSK<0> university is owned by the LDS church . ,This argument is fallacious.,1.0
2,More church politics would mean more productive discussions on how to make the Church more about Christianity.,More MSK<0> politics would mean more productive discussions on how to make the MSK<0> more about Christianity . ,This argument is fallacious.,1.0
3,"""...he fought for those ideas because they were more or less democratically voted upon.""  This gets dangerously close to the Nazi defense at Nuremburg \reference analysis",""" ... he fought for those ideas because they were more or less democratically voted upon . "" This gets dangerously close to the Nazi defense at Nuremburg \ reference analysis ",This argument is fallacious.,1.0
4,"Islamic ethicists regard women as property of men, and are therefore unable to deliver an ethically sound opinion on abortion.","Islamic ethicists regard women as property of men , and are therefore unable to deliver an ethically sound opinion on abortion . ",This argument is fallacious.,1.0
5,The credibility of the Book of Mormon witnesses is lessened by the fact that they were mostly related to one another making them less independent sources.,The credibility of the Book of MSK<0> is lessened by the fact that MSK<0> were mostly related to one another making MSK<0> less independent sources . ,This argument is fallacious.,1.0
6,To imply that someone is unreliable simply because of who they are related to is an ad hominem attack.,To imply that MSK<0> is unreliable simply because of who MSK<0> are related to is an ad hominem attack . ,This argument is fallacious.,1.0
7,The FRC is anti-LGBT presenting data in light of their own biases in misleading ways.,MSK<0> is anti-LGBT presenting data in light of MSK<0> own biases in misleading ways . ,This argument is fallacious.,1.0
8,"The people who believe Trump has committed treason, the penalty for which is death, appear to be suffering from a cognitive dissonance disorder that therapists are calling Trump Anxiety Disorder \(TAD also known by some as Trump Derangement Syndrome","The people who believe MSK<0> has committed treason , the penalty for which is death , appear to be suffering from a cognitive dissonance MSK<1> that therapists are calling MSK<0> Anxiety MSK<1> \ ( TAD also known by some as MSK<0> Derangement Syndrome ",This argument is fallacious.,1.0
9,"Those with the view, ""There is no objective reason to obey God"" carry with them a bias. This bias would result in the substantiation for lack of a need for God, and by proxy, a lack of admittance to their being objective morals standards. But object standards don't need anyone to follow them to be the standard of all. Thus all that is left is the commitment to the bias.","MSK<0> , "" There is no MSK<1> reason to obey MSK<2> "" carry with MSK<0> MSK<3> . MSK<3> would result in the substantiation for MSK<4> of a MSK<5> for MSK<2> , and by proxy , a MSK<4> of admittance to MSK<6> being MSK<1> morals MSK<7> . But object MSK<7> don't MSK<5> anyone to follow MSK<6> to be the MSK<7> of all . Thus all that is left is the commitment to MSK<3> . ",This argument is fallacious.,1.0
10,Political correctness enables free speech for those that would be attacked personally otherwise.,Political correctness enables free speech for those that would be attacked personally otherwise . ,This argument is fallacious.,1.0
11,Attacks are part of free speech. Using science and logic to debunk these attacks has more value than dismissing them on the basis that you don't like them.,MSK<0> are part of free speech . Using science and logic to debunk MSK<0> has more value than dismissing MSK<0> on the basis that you don't like MSK<0> . ,This argument is fallacious.,1.0
12,One scholar compared the legitimacy of the anti-Strafordian theory in Shakespearean academic circles with the credibility given by astronauts to the idea that the moon landings were faked.,One scholar compared the legitimacy of the anti-Strafordian theory in Shakespearean academic circles with the credibility given by astronauts to the idea that the moon landings were faked . ,This argument is fallacious.,1.0
13,"The issue at the heart of the anti-Stratfordian theory is that it is perceived as unbelievable that a son of a glover from a small town in the middle of nowhere could be one the greatest writer ever, not that there is no evidence.","MSK<0> is that MSK<0> is perceived as unbelievable that a son of a glover from a small town in the middle of nowhere could be one the greatest writer ever , not that there is no evidence . ",This argument is fallacious.,1.0
14,"Many scholars argue that the theory that the William Shakespeare of Stratford-upon-Avon is not the true William Shakespeare, the famous writer, are not rooted in evidence, but rather classism.","Many scholars argue that the theory that the MSK<1> of Stratford - upon - Avon is not the true MSK<1> , the famous writer , are not rooted in evidence , but rather classism . ",This argument is fallacious.,1.0
