Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,key,edited,votes,created,text,parent_text,parent_relation,grand_parent_text,author,relation,score,masked_articles,is_fallacy
0,0,0,0,0,0,1229.5516,1516253653462,,1516253653462,"While meat production does entail production of up to 9% of the world's greenhouse gases, the source of the carbon is less problematic than the other 91% of the carbon, mostly produced by fossil fuels. Cows belch methane, but this carbon originates from the atmosphere and goes back into the atmosphere in climate-boosted form. Fossil fuels take carbon formerly sequestered deep underground, and adds it to the atmosphere. So meat is problematic, but not in the same league as fossil fuel.",Eating and producing meat heavily contributes to climate change.,1.0,Farming animals has severe impacts on the local environment due to its heavy resource use and impact upon the landscape.,128e5c04-bfc3-42ef-b299-c0fffa1bbaec,-1,6.6,"While MSK<0> MSK<1> does entail MSK<1> of up to 9 % of the world 's greenhouse MSK<5> , the source of MSK<2> is less MSK<3> than the other 91 % of MSK<2> , mostly produced by MSK<4> MSK<5> . Cows belch methane , but MSK<2> originates from MSK<6> and goes back into MSK<6> in climate - boosted form . MSK<4> MSK<5> take MSK<7> formerly sequestered deep underground , and adds MSK<7> to MSK<6> . So MSK<0> is MSK<3> , but not in the same league as MSK<4> MSK<5> . ",0
1,1,1,1,1,1,16068.507,1551716418756,,1551716418756,"If, in colder climates, those responsible for public spaces were compelled to heat enough to create an environment such that people could feel comfortable despite not wearing clothes, there would be a cost to the environment in more energy used.",Public nudity would benefit the economy and the environment.,1.0,Public nudity should be legal.,9a417e2a-86a9-43ee-a175-8d6a7f2acb33,-1,5.0,"If , in colder climates , those responsible for public spaces were compelled to heat enough to create an MSK<0> such that people could feel comfortable despite not wearing clothes , there would be a cost to the MSK<0> in more energy used . ",0
2,2,2,2,2,2,16070.6,1529097826482,,1529097826482,"Humanity is able to address existential threats \(climate change, resource shortages, artificial intelligence\) more readily under a global government.",Humanity would be better off under a global government.,0.0,,373c4c67-a091-4ae7-bd6b-092e54a7f6de,1,4.8,"Humanity is able to address existential threats \ ( climate change , resource shortages , artificial intelligence \ ) more readily under a global government . ",0
3,3,3,3,3,3,4540.141,1510712811125,,1510712811125,"15,000 scientists just co-signed an article calling for an extreme and aggressive effort to slow down or reverse the trend of climate change before it's too late. It is the second warning of this scale, the other was 25 years ago.",Humans should act to fight climate change.,0.0,,f389a78d-9406-48be-bdf9-f9b431844132,1,4.2,"15,000 scientists just co-signed an article calling for MSK<0> to slow down or reverse the trend of climate change before MSK<0> 's too late . MSK<0> is the second warning of this scale , the other was 25 years ago . ",0
4,4,4,4,4,4,4540.229,1512284807106,,1512284807106,"The Earth's climate is well within the bounds of the current Holocene which is a time of Earth's history that humans have thrived in, suggesting that although the climate may be changing or has changed, it isn't necessarily bad.",Climate change has a profound and negative impact on nature.,1.0,Humans should act to fight climate change.,d8360563-1287-4b86-99d1-658561b737c4,-1,4.0,"MSK<0> is well within the bounds of the current Holocene which is a time of MSK<0> history that humans have thrived in , suggesting that although MSK<1> may be MSK<2> or has MSK<2> , MSK<1> isn't necessarily bad . ",0
5,5,5,5,5,5,4540.272,1512686431468,,1512686431468,"The Stern Review which assessed the impact of climate change on the economy, human life, and animal life, concluded that ""the benefits of strong, early action on climate change outweigh the costs"".",Dealing with the effects of climate change in the future would be much more complicated than dealing with them now,-1.0,"Due to this tackling climate change requires quick and strong action now as we would need deep behavioural, organisational change and public acceptance.",ed63b008-b705-4c2e-8df3-e255b7cc9979,1,3.4,"The Stern Review which assessed the impact of MSK<1> on the economy , human MSK<2> , and animal MSK<2> , concluded that "" the benefits of strong , early action on MSK<1> outweigh the costs "" . ",0
6,6,6,6,6,6,1229.6476,1523062272725,,1523062272725,"The fact that meat eating and production contributes to climate change is not an argument for complete abstention from eating meat, it is only an argument for reducing the impact of meat eating, either through reduction in per capital amounts eaten or more sustainable farming practices.",Eating and producing meat heavily contributes to climate change.,1.0,Farming animals has severe impacts on the local environment due to its heavy resource use and impact upon the landscape.,0f3e0f7c-7d25-4973-8300-8dd26854fbae,-1,3.0,"MSK<0> is not an MSK<1> for complete abstention from MSK<2> MSK<3> , MSK<0> is only an MSK<1> for MSK<4> the impact of MSK<3> MSK<2> , either through MSK<4> in per capital amounts MSK<2> or more sustainable farming practices . ",0
7,7,7,7,7,7,1785.97,1486967755847,,1486967755847,"As of last year, a third of the members of the US congress were denying the man-made nature of climate change, against the overwhelming scientific evidence.",There is little reason to assume that politicians' opinions are necessarily more informed than those of average voters.,-1.0,"The average citizen, unlike a professional politician, is not able to make well-grounded decisions about complex political subject matters.",9972cb14-00f7-42d2-9b64-846aa0812775,1,2.8,"As of last year , a third of the members of the US congress were denying the man - made nature of climate change , against the overwhelming scientific evidence . ",0
8,8,8,8,8,8,9226.428,1521408293916,,1521408293916,"The rapid loss of species \(1 2 we are seeing today is estimated by experts to be between 1,000 and 10,000 times higher than the natural extinction rate.",The natural environment is undergoing a severe collapse due to human activity.,-1.0,Global overpopulation is a myth.,0b8a9a8a-22d7-48a6-a372-c318250966f0,1,2.6,The rapid loss of species \ ( 1 2 we are seeing today is estimated by experts to be between MSK<0> and MSK<0> times higher than the natural extinction rate . ,0
9,9,9,9,9,9,1528.466,1484778721554,,1484778721554,"The main causes of food shortages in Africa are harsh climate, lack of infrastructure, corruption and military conflicts. These will not be solved by American limits on consumption.","Food crises exist in places like Africa, not the United States. Food resources are not easily substitutable or transferrable.",-1.0,"In the context of global food shortages and environmental crises, society should be critical of excess consumption in all its forms.",b4189732-745a-4af5-b5ff-49bcc642fb55,1,2.6,"MSK<0> are harsh climate , lack of infrastructure , corruption and military conflicts . MSK<0> will not be solved by American limits on consumption . ",0
