,argument,sa_argument,hypothesis,is_fallacy 
0,"While meat production does entail production of up to 9% of the world's greenhouse gases, the source of the carbon is less problematic than the other 91% of the carbon, mostly produced by fossil fuels. Cows belch methane, but this carbon originates from the atmosphere and goes back into the atmosphere in climate-boosted form. Fossil fuels take carbon formerly sequestered deep underground, and adds it to the atmosphere. So meat is problematic, but not in the same league as fossil fuel.","While MSK<0> MSK<1> does entail MSK<1> of up to 9 % of the world 's greenhouse MSK<5> , the source of MSK<2> is less MSK<3> than the other 91 % of MSK<2> , mostly produced by MSK<4> MSK<5> . Cows belch methane , but MSK<2> originates from MSK<6> and goes back into MSK<6> in climate - boosted form . MSK<4> MSK<5> take MSK<7> formerly sequestered deep underground , and adds MSK<7> to MSK<6> . So MSK<0> is MSK<3> , but not in the same league as MSK<4> MSK<5> . ",This argument is fallacious.,0
1,"If, in colder climates, those responsible for public spaces were compelled to heat enough to create an environment such that people could feel comfortable despite not wearing clothes, there would be a cost to the environment in more energy used.","If , in colder climates , those responsible for public spaces were compelled to heat enough to create an MSK<0> such that people could feel comfortable despite not wearing clothes , there would be a cost to the MSK<0> in more energy used . ",This argument is fallacious.,0
2,"Humanity is able to address existential threats \(climate change, resource shortages, artificial intelligence\) more readily under a global government.","Humanity is able to address existential threats \ ( climate change , resource shortages , artificial intelligence \ ) more readily under a global government . ",This argument is fallacious.,0
3,"15,000 scientists just co-signed an article calling for an extreme and aggressive effort to slow down or reverse the trend of climate change before it's too late. It is the second warning of this scale, the other was 25 years ago.","15,000 scientists just co-signed an article calling for MSK<0> to slow down or reverse the trend of climate change before MSK<0> 's too late . MSK<0> is the second warning of this scale , the other was 25 years ago . ",This argument is fallacious.,0
4,"The Earth's climate is well within the bounds of the current Holocene which is a time of Earth's history that humans have thrived in, suggesting that although the climate may be changing or has changed, it isn't necessarily bad.","MSK<0> is well within the bounds of the current Holocene which is a time of MSK<0> history that humans have thrived in , suggesting that although MSK<1> may be MSK<2> or has MSK<2> , MSK<1> isn't necessarily bad . ",This argument is fallacious.,0
5,"The Stern Review which assessed the impact of climate change on the economy, human life, and animal life, concluded that ""the benefits of strong, early action on climate change outweigh the costs"".","The Stern Review which assessed the impact of MSK<1> on the economy , human MSK<2> , and animal MSK<2> , concluded that "" the benefits of strong , early action on MSK<1> outweigh the costs "" . ",This argument is fallacious.,0
6,"The fact that meat eating and production contributes to climate change is not an argument for complete abstention from eating meat, it is only an argument for reducing the impact of meat eating, either through reduction in per capital amounts eaten or more sustainable farming practices.","MSK<0> is not an MSK<1> for complete abstention from MSK<2> MSK<3> , MSK<0> is only an MSK<1> for MSK<4> the impact of MSK<3> MSK<2> , either through MSK<4> in per capital amounts MSK<2> or more sustainable farming practices . ",This argument is fallacious.,0
7,"As of last year, a third of the members of the US congress were denying the man-made nature of climate change, against the overwhelming scientific evidence.","As of last year , a third of the members of the US congress were denying the man - made nature of climate change , against the overwhelming scientific evidence . ",This argument is fallacious.,0
8,"The rapid loss of species \(1 2 we are seeing today is estimated by experts to be between 1,000 and 10,000 times higher than the natural extinction rate.",The rapid loss of species \ ( 1 2 we are seeing today is estimated by experts to be between MSK<0> and MSK<0> times higher than the natural extinction rate . ,This argument is fallacious.,0
9,"The main causes of food shortages in Africa are harsh climate, lack of infrastructure, corruption and military conflicts. These will not be solved by American limits on consumption.","MSK<0> are harsh climate , lack of infrastructure , corruption and military conflicts . MSK<0> will not be solved by American limits on consumption . ",This argument is fallacious.,0
10,"AKMs do not get sick due to change of climate, tropical diseases, food poisoning or simple things as influenza.","AKMs do not get sick due to change of climate , tropical diseases , food poisoning or simple things as influenza . ",This argument is fallacious.,0
11,"The increase in human population leads to a gradual degeneration of humans' ecological niche, such as rising levels of atmospheric carbon dioxide, global warming, and pollution.","The increase in MSK<0> population leads to a gradual degeneration of MSK<0> ' ecological niche , such as rising levels of atmospheric carbon dioxide , global warming , and pollution . ",This argument is fallacious.,0
12,"Senior US military officials claim direct links between climate change and the Arab Spring, the war in Syria, and Boko Haram, all of which have been massive contributors to the current refugee crisis.","Senior US military officials claim direct links between climate change and the Arab Spring , the war in Syria , and Boko Haram , all of which have been massive contributors to the current refugee crisis . ",This argument is fallacious.,0
13,"Climate change is likely to increase migratory fluxes from poorer countries, often more exposed to the impacts of climate change and less capable of dealing with it, like the Time shows might already be happening between Africa and Europe.","MSK<0> is likely to increase migratory fluxes from poorer countries , often more exposed to the impacts of MSK<0> and less capable of dealing with MSK<0> , like the Time shows might already be happening between Africa and Europe . ",This argument is fallacious.,0
