Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,key,edited,votes,created,text,parent_text,author,relation,score,masked_articles,is_fallacy 
0,0,0,1634.232,1506621302289,,1506621302289,"A UBI erodes the personal and societal incentives for financial responsibility, self-improvement, and hard work.",Wealthy countries should provide citizens with a universal basic income \(UBI\).,224d0ab9-b407-4f66-bb9c-0d4725f441d2,-1,103.6,"A UBI erodes the personal and societal incentives for financial responsibility , self - improvement , and hard work . ",0
1,1,1,14478.1171,1533986700706,,1533975602545,"Modi is turning India into an Oligarchy. Business men close to the BJP, and Modi in particular, have prospered disproportionately from government policies and the Modi government's rule in general.",Narendra Modi has been good for India.,d9a00c67-374c-4b4b-a5cc-ba5be5022dce,-1,44.0,"MSK<0> is turning India into an Oligarchy . Business men close to the BJP , and MSK<0> in particular , have prospered disproportionately from MSK<1> policies and the MSK<0> MSK<1> 's rule in general . ",0
2,2,2,1634.517,1479930219464,,1479930219464,"A UBI promotes social justice improving the distribution of wealth, opportunities, and privileges within society.",Wealthy countries should provide citizens with a universal basic income \(UBI\).,26646557-50c8-4412-8889-6dd7f262c25a,1,40.8,"A UBI promotes social justice improving the distribution of wealth , opportunities , and privileges within society . ",0
3,3,3,1229.21,1463734233849,,1463734233849,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals.",Humans should stop eating animal meat.,e6827414-cadf-4300-836e-22f4285427cf,1,39.4,"Eating meat , in the majority of cases , involves the cruel and immoral treatment of animals . ",0
4,4,4,13673.826,1528117873488,,1528117873488,"In case of religiously motivated circumcision, it is unacceptable for the parents to leave a permanent, lifelong sign of their own religious affiliation on the child's body.",Infant circumcision should be banned.,9189d51d-403a-4370-b251-a21f76b98772,1,37.8,"In case of MSK<1> MSK<1> circumcision , it is unacceptable for MSK<0> to leave a permanent , lifelong sign of MSK<0> own MSK<1> affiliation on the child 's body . ",0
5,5,5,1634.212,1479941592658,,1479941592658,"The UBI financially supports citizens who are engaged in meaningful but low- or unpaid activities, such as: domestic labor, art, volunteering, engaging with politics, and pursuing higher education.",Wealthy countries should provide citizens with a universal basic income \(UBI\).,1b18fb61-17bd-4efe-8ef8-734187e31c8e,1,37.4,"The UBI financially supports citizens who are MSK<0> in meaningful but low - or unpaid activities , such as : domestic labor , art , volunteering , MSK<0> with politics , and pursuing higher education . ",0
6,6,6,2762.4,1504140098084,,1504140098084,"If all humans were vegan, animals would not be killed or made to suffer needlessly, which is the moral thing to do.",All humans should be vegan.,f12200dd-c680-4571-9695-cef9190c6090,1,35.6,"If all humans were vegan , animals would not be killed or made to suffer needlessly , which is the moral thing to do . ",0
7,7,7,2762.503,1521793640231,,1521793640231,"We evolved into being omnivores, so we can't change, because it's ingrained into our nature.",All humans should be vegan.,c05c1426-3aa8-48a3-b24a-daab055126bd,-1,31.2,"MSK<0> evolved into being omnivores , so MSK<0> can't change , because it 's ingrained into MSK<0> nature . ",0
8,8,8,7100.147,1576658162769,,1517377552442,"Legalizing all drugs would be seen as a sign of the government/authority giving up on protecting people from the harm they could do, to themselves and others, through poorly selected drug use.",All drugs should be legalised.,97ada421-94ac-4110-8020-9c59baf05378,-1,29.2,"Legalizing all MSK<0> would be seen as a sign of the government / authority giving up on protecting people from the harm MSK<1> could do , to MSK<1> and others , through poorly selected MSK<0> use . ",0
9,9,9,2214.27,1500971122779,,1498295401628,"Refugees are desperate, vulnerable, innocent human beings. Given that every human being is of equal dignity and humanity, high-income countries must help them.",High-income countries should take in significant numbers of refugees.,f443c292-9428-48e0-a6b6-8cb56fdeb685,1,28.2,"Refugees are desperate , vulnerable , innocent MSK<0> beings . Given that every MSK<0> being is of equal dignity and humanity , MSK<1> must help MSK<1> . ",0
10,10,10,7100.51,1515508423124,,1515508423124,"The ban on drugs has hindered scientific and, in particular, medical progress.",All drugs should be legalised.,24f5ff14-75af-4548-ae24-9751d29975f4,1,28.0,"The ban on drugs has hindered scientific and , in particular , medical progress . ",0
11,11,11,6351.91,1519830972634,,1519830972634,"The USE will create a European identity. It will create a sense of belonging to, and sharing of, the European continent and its values, and create mutual responsibility for the future of Europe.",The European Union should become a United States of Europe.,dc188709-0457-44bb-b73a-ef1fa50904e0,1,27.4,"The USE will MSK<0> a MSK<1> identity . MSK<2> will MSK<0> a sense of belonging to , and sharing of , the MSK<1> MSK<1> and MSK<2> values , and MSK<0> mutual responsibility for the future of MSK<1> . ",0
