,argument,sa_argument,hypothesis,is_fallacy
0,"A UBI erodes the personal and societal incentives for financial responsibility, self-improvement, and hard work.","A UBI erodes the personal and societal incentives for financial responsibility , self - improvement , and hard work . ",This argument is fallacious.,0
1,"Modi is turning India into an Oligarchy. Business men close to the BJP, and Modi in particular, have prospered disproportionately from government policies and the Modi government's rule in general.","MSK<0> is turning India into an Oligarchy . Business men close to the BJP , and MSK<0> in particular , have prospered disproportionately from MSK<1> policies and the MSK<0> MSK<1> 's rule in general . ",This argument is fallacious.,0
2,"A UBI promotes social justice improving the distribution of wealth, opportunities, and privileges within society.","A UBI promotes social justice improving the distribution of wealth , opportunities , and privileges within society . ",This argument is fallacious.,0
3,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals.","Eating meat , in the majority of cases , involves the cruel and immoral treatment of animals . ",This argument is fallacious.,0
4,"In case of religiously motivated circumcision, it is unacceptable for the parents to leave a permanent, lifelong sign of their own religious affiliation on the child's body.","In case of MSK<1> MSK<1> circumcision , it is unacceptable for MSK<0> to leave a permanent , lifelong sign of MSK<0> own MSK<1> affiliation on the child 's body . ",This argument is fallacious.,0
5,"The UBI financially supports citizens who are engaged in meaningful but low- or unpaid activities, such as: domestic labor, art, volunteering, engaging with politics, and pursuing higher education.","The UBI financially supports citizens who are MSK<0> in meaningful but low - or unpaid activities , such as : domestic labor , art , volunteering , MSK<0> with politics , and pursuing higher education . ",This argument is fallacious.,0
6,"If all humans were vegan, animals would not be killed or made to suffer needlessly, which is the moral thing to do.","If all humans were vegan , animals would not be killed or made to suffer needlessly , which is the moral thing to do . ",This argument is fallacious.,0
7,"We evolved into being omnivores, so we can't change, because it's ingrained into our nature.","MSK<0> evolved into being omnivores , so MSK<0> can't change , because it 's ingrained into MSK<0> nature . ",This argument is fallacious.,0
8,"Legalizing all drugs would be seen as a sign of the government/authority giving up on protecting people from the harm they could do, to themselves and others, through poorly selected drug use.","Legalizing all MSK<0> would be seen as a sign of the government / authority giving up on protecting people from the harm MSK<1> could do , to MSK<1> and others , through poorly selected MSK<0> use . ",This argument is fallacious.,0
9,"Refugees are desperate, vulnerable, innocent human beings. Given that every human being is of equal dignity and humanity, high-income countries must help them.","Refugees are desperate , vulnerable , innocent MSK<0> beings . Given that every MSK<0> being is of equal dignity and humanity , MSK<1> must help MSK<1> . ",This argument is fallacious.,0
10,"The ban on drugs has hindered scientific and, in particular, medical progress.","The ban on drugs has hindered scientific and , in particular , medical progress . ",This argument is fallacious.,0
