,Label,Argument,Claim,Type of Argument,Type of fallacy,Pros,Cons
0,"The statement black lives matter did not rise from a philosophy about life, but from a specific cause which rising from a specific group of people, their statement is not to say that only black lives matter, it is to highlight that there is reason to act specifically in the black cause","Saying ""All Lives Matter"", even though it is \(or should be\) true, is a kind of trolling. It is akin to how the ""Blue Lives Matter"" hashtag became popular as a response to Beyonce's halftime performance speaking out against police brutality.",The phrase #AllLivesMatter is deliberately designed to derail the conversation about racial equality in the USA.,Pro,,],]
1,"#AllLivesMatter was a direct response to #BlackLivesMatter, and served an argumentative purpose.",Not all people saying #AllLivesMatter are saying it as a challenge to the #BlackLivesMatter campaign. Some are saying it in conjunction with the #BlackLivesMatter campaign. The context in which someone is saying #AllLivesMatter is important.,The phrase #AllLivesMatter is deliberately designed to derail the conversation about racial equality in the USA.,Con,,"'Depends on the context. In general all lives matter, but the saying is usually used as a protest to the #BlackLivesMatter protests.']",]
2,"This is an oversimplification.  The nature of the police's job is that they are sometimes violent, and this violence has been directed against people of all races.",It is regrettable that their actions do not reflect this belief.,"""Black Lives Matter"" is itself strawman argument. There isn't a modern police department anywhere in the U.S. that claims black lives don't matter.",Con,,],]
3,American society has changed dramatically since the 60-year old Democrat Party racist political movement. It is no longer acceptable and even punished when police express racial slurs and stereotypes. As a result any lingering racism is relegated to either being punished or underground and is a minor constituent of the largelynon-racial police departments. The Betsy Ross issue the race-baiting industry is fomenting false narratives to use to keep Americans divided.,"There would not be a civil rights movement, Jim Crow laws or even news of a police department openly expressing racial slurs and stereotypes towards black individuals if the premise ""to some people, black lives do not matter"" was false.",#BlackLivesMatter is built on the false premise that most people do not care about black lives. #AllLivesMatter is more synonymous with the belief of the overwhelming majority of people.,Con,,],]
4,"The attempted lynching of Vauhxx Booker by two white men who have been criminally charged, and the attack is being investigated by the FBI as a hate crime.","There is no way to prove the claim that the premise is false. There is, however, proof that the premise is true: to some people Black lives do not matter.",#BlackLivesMatter is built on the false premise that most people do not care about black lives. #AllLivesMatter is more synonymous with the belief of the overwhelming majority of people.,Con,,],]
5,The 1619 project is fictional propaganda created to rewrite American history with three huge gaping inaccuracies that even the New York Times had to admit was wrong. American colonies imported only 5% of Africans that were brought to the Americas. Slavery is a timeless universal institution. It was not an American innovation. Colonial European traders entered an pre-existing market where Black indigenous Africans dealt in slaves to Islamic Muslim traders from the 7th to the 19th century.,"US society was built by chattel slavery and racism and for its entire history and present day, Black people have been dehumanized. #BlackLivesMatter is a thus critical movement to humanize people who have continued to be dehumanized. 1619 - The Economy that Slavery Built",#BlackLivesMatter is built on the false premise that most people do not care about black lives. #AllLivesMatter is more synonymous with the belief of the overwhelming majority of people.,Con,,],]
6,"Lynchings of black Americans have a history of going unpunished in this country, and this continues to be true in 2020.",Overwhelming evidence suggests that many people believe that Black Lives do not matter.,#BlackLivesMatter is built on the false premise that most people do not care about black lives. #AllLivesMatter is more synonymous with the belief of the overwhelming majority of people.,Con,,],'There is no proof that hangings of Blacks are not suicide. The Washington Post article is pure speculation and could be considered propaganda.']
7,"Even if a slogan creates an impact, there is no reason to believe that the impact will be positive.","All slogans are used to reduce complex issues, but not all slogans are harmful, some create an impact and with it social change.","Both sayings are equally harmful, as they each reduce complex issues to hollow and divisive platitudes.",Con,,],]
8,"This implies that people are willing to listen to complex issues about sensitive topics. This is not always true. Whereas complicated rhetoric can be exhausting and frustrating to repeat, a simple rally cry like this is much easier to repeat as many times as necessary, and a little harder to simply ignore.",Reducing complex issues to single-sentence rallying cries like this encourages people to take sides rather than listen to each other.,"Both sayings are equally harmful, as they each reduce complex issues to hollow and divisive platitudes.",Pro,,],]
9,Being contentious is not the problem. Not talking about something because it is contentious only perpuates injustice.,"Given how contentious the phrases are, it would be wise to back away from them: they have been too tainted by the controversy to be effective phrases any longer.","Both sayings are equally harmful, as they each reduce complex issues to hollow and divisive platitudes.",Pro,,],]
10,"#AllLivesMatter would only be good if it had been invented separate to the #BlackLivesMatter movement. Instead, it was in direct response and is widely regarded as criticism of the BLM tag.",They are both equally good if and when used in the context of improving and protecting the lives of human beings.,"Both sayings are equally harmful, as they each reduce complex issues to hollow and divisive platitudes.",Con,,'All Lives Matter is notably a countermovement. It serves to negate the claims made by Black Lives Matter.'],"""All Lives Matter is inclusive of black lives and does not negate the hardships or struggles of ANY 'color' of person."", 'All Lives Matter is not an organized movement, whereas Black Lives Matter is.']"
11,"While the incidents are not linked, the problem is rampant Fatal shootings of unarmed white suspects by police are 13/1,000,000 while fatal shooting of unarmed black suspects are 31/1,000,000, or about 2.4 times that of white suspects, demonstrating a significant bias. The bias disappears when suspects are armed.",Shootings by police officers are normally isolated incidents.  The officers involved generally do not have a direct connection to other officers involved in shootings.,"By this logic, the police should equally be acknowledged as a terrorist organization. Numerous police officers have killed unarmed civilians. None are isolated incidents either. Black Lives Matters is the result of these murders.",Con,,],]
12,"While thoughts are free, thoughts that incite hatred and ultimately violence should not be tolerated, as they are detrimental to society.",Everyone should be free to share their thoughts.,Extremist parties should be allowed.,Pro,,],"'All laws are enforced with violence, so if ultimately leading to violence is our criterion for choosing not to tolerate a thought, all political thought should be forbidden.']"
13,A desire for balance in the political spectrum is not necessarily a good thing.,If the far left parties are allowed then so should the far right parties thereby keeping the political spectrum balanced.,Extremist parties should be allowed.,Pro,,],]
14,"For those opposed to far-right ideologies, this would be a good outcome, as the elections would be dominated by non-far-rightists.",Banning extremist parties leads to as increase of abstentions.,Extremist parties should be allowed.,Pro,,],]
15,Extremist parties going underground is more harmful since they create echo chambers of their extremist ideologies and promote them.,Allowing extremist parties in a pluralist society is normal and healthy. In this way they don't go underground and their ideas are publicly scrutinized.,Extremist parties should be allowed.,Pro,,'Banned parties can use social media to spread hateful ideologies.'],]
16,Laws against hate speech and violence are sufficient to prevent the spread of hate and violence. A ban on extremist parties is superfluous.,Extremist parties incite hate and violence.,Extremist parties should be allowed.,Con,,],"'The parent claim seems to ultimately disagree with the thesis, as it proposes the effective banning of far right parties rather than outright bans.']"
17,"Popper's ""paradox of tolerance"" is frequently misused, when he himself said "" In this formulation, I do not imply, for instance, that we should always suppress the utterance of intolerant philosophies; as long as we can counter them by rational argument and keep them in check by public opinion, suppression would certainly be unwise.""","Like Popper said ""Unlimited tolerance must lead to the disappearance of tolerance"". Therefore, you cant be tolerant with far right parties.",Extremist parties should be allowed.,Con,,],'It does not seem like we are keeping them in check by public opinion.']
18,Attempting to silence any dissent from the morality prescribed by the dominant ideology does not have a splendid history,"The ideals of white supremacy, xenophobia and homophobia are immoral.",Extremist parties should be allowed.,Con,,],]
19,The fact that Daenerys is the obvious outcome indicates that there is substantial evidence for Daenerys being the Prince. George R. R. Martin would be unlikely to disregard all of this evidence simply in order to be contrarian.,"George R.R. Martin is known for surprising readers and for subverting traditional narratives. Having Daenerys, one of the series' primary main characters, be the Princess that was Promised would be perhaps the most conventional outcome, and is, therefore, less likely.",Daenerys being the Prince is the most obvious outcome; this actually makes it less likely to be the case.,Pro,,],]
20,"Jon is the only one who, metaphorically, unites ice and fire: he is the only descendant of both House Stark and House Targaryen, who formed the so-called Pact of Ice and Fire during the Dance of the Dragons.",The revelations about Jon Snow’s origins make him the most obvious character to be the Prince.,Daenerys being the Prince is the most obvious outcome; this actually makes it less likely to be the case.,Con,,"'The words of the two houses are direct references to ice and fire: ""Winter is Coming"" for House Stark and ""Fire and Blood"" for House Targaryen.']","'Melisandre states that she has ""done \\her\\] part; I\'ve bought ice and fire together” when Jon meets Daenerys; clearly referring to those phenomena as representing each person.']"
21,"Customers will trade reviews of establishments, and market forces will quickly bring companies to advertise ""our employees are tested for STDs weekly"" or some such processes.  Establishments could also require customers to be tested, to maintain their high standing.",The rate of STDs will be higher if sex work is legal.,"Legalisation will expand the sex industry as a whole and in doing so expand the unregulated sector of that industry that promotes rape, transmission of STDs, trafficking, and child exploitation.",Pro,,],]
22,"Research shows that this effect - the ""substitution effect"" - is smaller than the expansion of the market, the ""scale effect"". Ergo, legalization does make parts of the black market white, but due to increased demand even the black market \(including trafficking\) will grow.",Legalization will actually provide a legal and regulated alternative to the sector of that industry that promotes all those negative outcomes.,"Legalisation will expand the sex industry as a whole and in doing so expand the unregulated sector of that industry that promotes rape, transmission of STDs, trafficking, and child exploitation.",Con,,],]
23,"Most countries lack the social, economic, and legal sophistication to keep illegal prostitution under control as well.","While legalization is philosophically ideal, most countries lack the social, economic, and legal sophistication to prevent the negative risks from manifesting and growing out of control.","Legalisation will expand the sex industry as a whole and in doing so expand the unregulated sector of that industry that promotes rape, transmission of STDs, trafficking, and child exploitation.",Pro,,],]
24,Legislation itself does not give more power to pimps. Sex work could be legislated to allow for sex work and brothels but disallow pimps.,Legalisation gives more power to pimps therefore it could lead to more victims.,"Legalisation will expand the sex industry as a whole and in doing so expand the unregulated sector of that industry that promotes rape, transmission of STDs, trafficking, and child exploitation.",Pro,,],]
25,"When assessing illegal activities, the issue is not so much the geographical dimension but rather the market size.",The experience of the Red Light District in Amsterdam shows that geographically the space of sex work concentrates rather than grows into other parts of the city.,"Legalisation will expand the sex industry as a whole and in doing so expand the unregulated sector of that industry that promotes rape, transmission of STDs, trafficking, and child exploitation.",Con,,],]
26,"This suggests that the problem is still in the areas without legal outlets and enforced regulations. That is not an argument against the legalized areas, just suggests it needs a comprehensive rather than localized effort.","After Amsterdam legalized prostitution in a certain area, illegal prostitution outside the area increased by 30%.","Legalisation will expand the sex industry as a whole and in doing so expand the unregulated sector of that industry that promotes rape, transmission of STDs, trafficking, and child exploitation.",Pro,,],]
27,The 2012 review of legalization in Denmark recommended creating provisions that ban soliciting sex in restaurants.,"If legalized, sex workers can offer their services literally anywhere and, for example, enter a restaurant for the sole reason of meeting or promoting to clients.","Legalisation will expand the sex industry as a whole and in doing so expand the unregulated sector of that industry that promotes rape, transmission of STDs, trafficking, and child exploitation.",Pro,,],"""The very existence of this review's recommendations demonstrates that this could be solved through regulation.""]"
28,Nor does it mean that someone who chooses to engage in sex work diminishes the value of sex for those who choose not to. There is no reason that one who values sex as personal and emotional should need to project that value onto others.,Sex can be many things to many people — if someone believes that sex is about emotional and personal connections that does not mean that is true for everyone.,Selling sex commodifies an act that should be about emotional and personal connection.,Con,,],]
29,"Sexual gratification is not truly a need. Man can survive and thrive without sexual gratification, as many celibate people have done.",Sexual gratification is an important physiological need. Buying sex is just another way of gratifying it outside of a relationship.,Selling sex commodifies an act that should be about emotional and personal connection.,Con,,],]
30,This is the point: that change is not one that should occur.,It is not emotional nor personal - if it is bought it becomes economic.,Selling sex commodifies an act that should be about emotional and personal connection.,Con,,],]
