,Unnamed: 0,argument,sa_argument,hypothesis,is_fallacy
2762,2762,At least one study has been done on the economics of World of Warcraft.,At least one study has been done on the economics of World of Warcraft . ,This argument is fallacious.,0.0
192,192,Bisexual people score lower on average life satisfaction when compared to gay and lesbian people.,MSK<1> MSK<0> score lower on average life satisfaction when compared to MSK<1> and MSK<1> MSK<0> . ,This argument is fallacious.,0.0
3704,637,Many democratic countries do not have the resources to accommodate immigrants.,Many democratic countries do not have the resources to accommodate immigrants . ,This argument is fallacious.,1.0
2494,2494,"Substance dualism implies both telekinesis/mind over matter, because the mental substance must affect the material of the body, and extrasensory perception \(ESP\) because the material must directly affect the mental substance. But the existence of PSI phenomena has been tested and rejected by science","Substance dualism implies both telekinesis / mind over matter , because MSK<0> must MSK<1> MSK<2> , and extrasensory perception \ ( ESP \ ) because MSK<2> must directly MSK<1> MSK<0> . But the existence of PSI phenomena has been tested and rejected by science ",This argument is fallacious.,0.0
598,598,By keeping it online the FBI increased the availability of child pornography in the internet.,By keeping it online the FBI increased the availability of child pornography in the internet . ,This argument is fallacious.,0.0
2329,2329,"Churches have overpriced fees for weddings, baptisms, holy communion and many other occasions. Although this may not be true in every country, churches do make a lot of money.","MSK<0> have overpriced fees for weddings , MSK<1> , holy MSK<1> and many other occasions . Although this may not be true in every country , MSK<0> do make a lot of money . ",This argument is fallacious.,0.0
2060,2060,"We had already had a referendum on membership. The 2016 referendum was already a repeat. If repeat referendums are invalid, we should remain, as that was the result of the first referendum.","MSK<0> had already had MSK<1> . MSK<1> was already a repeat . If MSK<2> are invalid , MSK<0> should remain , as MSK<2> was the result of MSK<1> . ",This argument is fallacious.,0.0
3577,510,"Skeptics came to believe that Jesus was risen from the dead, despite not following his ministry while he was alive.","Skeptics came to believe that MSK<0> was risen from the MSK<1> , despite not following MSK<0> ministry while MSK<0> was MSK<1> . ",This argument is fallacious.,1.0
599,599,There were significant sunk costs involved that justified keeping Playpen running.,There were significant sunk costs involved that justified keeping Playpen running . ,This argument is fallacious.,0.0
491,491,Social structural theory views gender differences as psychological attempts to adjust to social expectations.,MSK<0> structural theory views gender differences as psychological attempts to adjust to MSK<0> expectations . ,This argument is fallacious.,0.0
453,453,The random selection of incapable politicians would likely result in instability and minimal progress.,The random selection of incapable politicians would likely result in instability and minimal progress . ,This argument is fallacious.,0.0
117,117,Gentlemen pay for women's drinks.,Gentlemen pay for women 's drinks . ,This argument is fallacious.,0.0
545,545,The statues can be kept without glorifying what they once stood for. They can be kept in museums with proper historical context rather than on a plinth to be admired.,MSK<0> can be kept without glorifying what MSK<0> once stood for . MSK<0> can be kept in museums with proper historical context rather than on a plinth to be admired . ,This argument is fallacious.,0.0
3889,822,America's economy has been growing at a steady and slightly accelerating pace since Trump was inaugurated in early 2017.,America 's economy has been growing at a steady and slightly accelerating pace since Trump was inaugurated in early 2017 . ,This argument is fallacious.,1.0
2160,2160,Some cultures ascribe to animism which suggests that the world was once known to host a wide array of creatures in no form of hierarchy.,Some cultures ascribe to animism which suggests that the world was once known to host a wide array of creatures in no form of hierarchy . ,This argument is fallacious.,0.0
3284,217,"Cultures still recognize a difference between men and women, even if the specifics of that recognition change over time.","Cultures still MSK<0> a difference between men and women , even if the specifics of that MSK<0> change over time . ",This argument is fallacious.,1.0
